source_file,output_file,study,scenario,session,input_rows,output_rows,input_columns,output_columns,decoded_column_count,malformed_cell_count,runtime_seconds,status,warnings,error_message
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-3_Session-temp_2024-02-22-13-48-59.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-3_Session-temp_2024-02-22-13-48-59_decoded.csv,PedNYC1,3,temp_2024-02-22-13-48-59,648,648,342,1006,332,0,2.3855017999885604,ok,,
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC2\csv\CSV_Scenario-Ped-3_Session-temp_2024-02-22-16-58-19.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC2\CSV_Scenario-Ped-3_Session-temp_2024-02-22-16-58-19_decoded.csv,PedNYC2,3,temp_2024-02-22-16-58-19,566,566,342,1006,332,0,1.7382298999873456,ok,,
