StudyFolder, ScenarioName, Did the driver signal, How does vehicle speed change?                     , How does pedestrian speed change?                   , Who has the right of way?（Who reached the intersection first?）, Who went first？   , Did the pedestrian use hand gestures?, Did the driver use hand gestures?
PedNYC12   ,           21, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC13   ,            3, Yes                  , Slowing down                                       , Speeding up                                         , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC13   ,            7, No                   , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC13   ,           12, Yes                  , No change                                          , Not walking                                         , Both                                                            , Driver             , No                                   , 
PedNYC13   ,           15, No                   , No change                                          , No change                                           , Neither                                                         , Driver             , No                                   , 
PedNYC13   ,           16, No                   , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC13   ,           21, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC15   ,            3, Yes                  , Slowing down                                       , No change                                           , Driver                                                          , Pedestrian         , No                                   , 
PedNYC15   ,            7,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC15   ,           12, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Pedestrian         , Yes                                  , 
PedNYC15   ,           15, Yes                  , Not moving                                         , Speeding up                                         , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC15   ,           16, No                   , Slowing down                                       , Slowing down                                        , Both                                                            , Driver             , Yes                                  , 
PedNYC15   ,           21,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC16   ,            3, Yes                  , Slowing down                                       , No change                                           , Driver                                                          , Driver             , No                                   , 
PedNYC16   ,            7, No                   , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Driver             , No                                   , 
PedNYC16   ,           12, Yes                  , Slowing down                                       , Not walking                                         , Both                                                            , Driver             , No                                   , 
PedNYC16   ,           15, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC16   ,           16, No                   , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC16   ,           21, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC17   ,            3, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC17   ,            7, No                   , Not moving                                         , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC17   ,           12, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC17   ,           15, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC17   ,           16, No                   , No change                                          , Slowing down                                        , Both                                                            , Driver             , No                                   , 
